Name,ISIN,Symbol,Market,Trading Currency,Open,High,Low,Last,Last Date/Time,Time Zone,Volume,Turnover
MASTRAD BS29,FR0013472446,MASBS,Euronext Growth Paris,EUR,-,-,-,-,-,CET,-,-
MÅSØVAL,NO0010974983,MAS,Euronext Growth Oslo,NOK,49.80,49.80,48.10,48.10,20/05/2022 16:25,CET,62157,3018542.40
MAUNA KEA TECH,FR0010609263,MKEA,Euronext Paris,EUR,0.503,0.522,0.503,0.51,20/05/2022 17:22,CET,11303,5769.79
MAURAGE,BE0011844108,-,Euronext Expert Market,EUR,350.00,350.00,350.00,350.00,10/07/2018 11:30,CET,63,22050.00
MAUREL ET PROM,FR0000051070,MAU,Euronext Paris,EUR,4.375,4.465,4.355,4.375,20/05/2022 17:35,CET,288756,1276735.53
MAZARO,BE0974404361,MLMAZ,Euronext Access Brussels,EUR,7.50,7.50,7.50,7.50,20/05/2022 11:30,CET,17,127.50
MBWS,FR0000060873,MBWS,Euronext Paris,EUR,1.36,1.38,1.36,1.365,20/05/2022 17:24,CET,5649,7724.76
MBWS BSA 2022,FR0013404944,MBWBT,Euronext Paris,EUR,0.0005,0.0005,0.0005,0.0005,20/05/2022 14:30,CET,1,0.00
MBWS BSAR 2023,FR0013066313,MBWSZ,Euronext Paris,EUR,0.0005,0.0005,0.0005,0.0005,12/05/2022 12:01,CET,10,0.01
MBZ (Gen-Jce),BE0010342609,-,Euronext Expert Market,EUR,124.50,124.50,124.50,124.50,01/09/2015 11:30,CET,7,871.50
MCPHY ENERGY,FR0011742329,MCPHY,Euronext Paris,EUR,16.795,17.14,16.51,16.53,20/05/2022 17:35,CET,245629,4091513.50
MDV,FR0014006PT9,MLMDV,Euronext Access Paris,EUR,12.70,12.70,12.70,12.70,27/04/2022 11:30,CET,10,127.00
MDXHEALTH,BE0003844611,MDXH,Euronext Brussels,EUR,0.86,0.97,0.793,0.808,20/05/2022 17:35,CET,1905279,1686375.55
MECHELEN,BE0101614551,-,Euronext Expert Market,EUR,35.40,35.40,35.40,35.40,10/03/2020 11:30,CET,2,70.80
MEDESIS PHARMA,FR0010844464,ALMDP,Euronext Growth Paris,EUR,3.405,3.475,3.40,3.40,20/05/2022 17:35,CET,1137,3897.72
MEDIA 6,FR0000064404,EDI,Euronext Paris,EUR,10.90,11.10,10.90,11.10,18/05/2022 17:20,CET,184,2028.40
MEDIA CAPITAL,PTGMC0AM0003,MCP,Euronext Lisbon,EUR,1.30,1.30,1.30,1.30,29/04/2022 15:30,BST,1,1.30
MEDIA LAB,IT0005324105,MLLAB,Euronext Access Paris,EUR,1.20,1.20,1.20,1.20,07/04/2022 16:30,CET,975,1170.00
MEDIA MAKER,IT0005380438,ALKER,Euronext Growth Paris,EUR,4.70,4.70,4.70,4.70,20/05/2022 09:00,CET,1,4.70
MEDIANTECHNOLOGIES,FR0011049824,ALMDT,Euronext Growth Paris,EUR,10.64,11.04,10.48,10.90,20/05/2022 17:35,CET,17287,187048.48
MEDINCELL,FR0004065605,MEDCL,Euronext Paris,EUR,5.86,5.87,5.75,5.86,20/05/2022 17:35,CET,9598,55861.89
MEDIOCREDITO EUROP,IT0004844848,MLMCE,Euronext Access Paris,EUR,4.30,4.30,4.30,4.30,28/11/2012 10:24,CET,100,430.00
MEDISTIM,NO0010159684,MEDI,Oslo Børs,NOK,229.00,244.50,229.00,236.00,20/05/2022 16:25,CET,10145,2386935.61
MELEXIS,BE0165385973,MELE,Euronext Brussels,EUR,79.30,80.50,78.75,78.75,20/05/2022 17:35,CET,41421,3306877.40
MELHUS SPAREBANK,NO0006001908,MELG,Oslo Børs,NOK,162.00,163.00,162.00,163.00,20/05/2022 15:04,CET,112,18179.00
MELTWATER,NL00150003D3,MWTR,Oslo Børs,NOK,12.50,12.64,12.11,12.11,20/05/2022 16:25,CET,686859,8509954.40
MEMSCAP REGPT,FR0010298620,MEMS,Euronext Paris,EUR,1.165,1.20,1.155,1.155,20/05/2022 15:18,CET,2380,2803.69
MERCELL HOLDING,NO0010307143,MRCEL,Oslo Børs,NOK,3.10,3.10,2.82,2.885,20/05/2022 16:39,CET,25319023,71040955.15
MERCIALYS,FR0010241638,MERY,Euronext Paris,EUR,8.75,8.81,8.675,8.685,20/05/2022 17:35,CET,147330,1285586.44
MERCK AND CO INC,US58933Y1055,MRK,Euronext Paris,EUR,84.10,88.90,84.10,88.90,20/05/2022 15:49,CET,133,11666.10
